zone,w_from,w_to,price
7,250.0,300.0,51.74
7,300.0,350.0,55.04
7,350.0,400.0,59.4
7,400.0,450.0,66.01
7,450.0,500.0,72.15
7,500.0,600.0,80.49
7,600.0,700.0,85.34
7,700.0,800.0,91.98
7,800.0,900.0,97.73
7,900.0,1000.0,105.16
7,1000.0,1100.0,119.32
7,1100.0,1200.0,129.52
7,1200.0,1300.0,133.26
7,1300.0,1400.0,140.74
7,1400.0,1500.0,141.53
7,1500.0,1600.0,151.02
7,1600.0,1700.0,167.54
7,1700.0,1800.0,172.8
7,1800.0,1900.0,181.46
7,1900.0,2000.0,182.26
7,2000.0,2100.0,194.26
7,2100.0,2200.0,211.59
7,2200.0,2300.0,219.63
7,2300.0,2400.0,223.86
7,2400.0,2500.0,226.58
7,2500.0,3000.0,251.75
7,3000.0,3500.0,267.0
7,3500.0,4000.0,296.67
7,4000.0,4500.0,325.63
8,0.0,30.0,31.7
8,30.0,50.0,31.7
8,50.0,75.0,34.59
8,75.0,100.0,38.29
8,100.0,150.0,41.99
8,150.0,200.0,45.68
8,200.0,250.0,48.69
8,250.0,300.0,54.1
8,300.0,350.0,57.56
8,350.0,400.0,62.01
8,400.0,450.0,68.82
8,450.0,500.0,75.14
8,500.0,600.0,83.96
8,600.0,700.0,89.09
8,700.0,800.0,96.2
8,800.0,900.0,102.26
8,900.0,1000.0,110.34
8,1000.0,1100.0,125.15
8,1100.0,1200.0,136.35
8,1200.0,1300.0,140.08
8,1300.0,1400.0,147.79
8,1400.0,1500.0,148.82
8,1500.0,1600.0,158.72
8,1600.0,1700.0,176.04
8,1700.0,1800.0,181.74
8,1800.0,1900.0,190.41
8,1900.0,2000.0,191.19
8,2000.0,2100.0,203.5
8,2100.0,2200.0,222.39
8,2200.0,2300.0,231.11
8,2300.0,2400.0,235.49
8,2400.0,2500.0,238.21
8,2500.0,3000.0,264.68
8,3000.0,3500.0,280.72
8,3500.0,4000.0,311.92
8,4000.0,4500.0,342.35
9,0.0,30.0,31.7
9,30.0,50.0,32.05
9,50.0,75.0,36.08
9,75.0,100.0,40.11
9,100.0,150.0,44.14
9,150.0,200.0,48.18
9,200.0,250.0,52.22
9,250.0,300.0,58.09
9,300.0,350.0,61.77
9,350.0,400.0,66.41
9,400.0,450.0,73.58
9,450.0,500.0,80.45
9,500.0,600.0,89.93
9,600.0,700.0,95.48
9,700.0,800.0,103.36
9,800.0,900.0,110.19
9,900.0,1000.0,119.29
9,1000.0,1100.0,134.97
9,1100.0,1200.0,147.57
9,1200.0,1300.0,151.33
9,1300.0,1400.0,159.33
9,1400.0,1500.0,160.74
9,1500.0,1600.0,171.35
9,1600.0,1700.0,190.72
9,1700.0,1800.0,197.09
9,1800.0,1900.0,205.76
9,1900.0,2000.0,206.57
9,2000.0,2100.0,220.0
9,2100.0,2200.0,241.36
9,2200.0,2300.0,251.17
9,2300.0,2400.0,255.83
9,2400.0,2500.0,258.55
9,2500.0,3000.0,287.28
9,3000.0,3500.0,304.69
9,3500.0,4000.0,338.56
9,4000.0,4500.0,371.57
10,0.0,30.0,31.7
10,30.0,50.0,32.66
10,50.0,75.0,37.29
10,75.0,100.0,41.93
10,100.0,150.0,46.56
10,150.0,200.0,51.19
10,200.0,250.0,55.81
10,250.0,300.0,60.45
10,300.0,350.0,64.07
10,350.0,400.0,68.72
10,400.0,450.0,77.55
10,450.0,500.0,86.05
10,500.0,600.0,95.58
10,600.0,700.0,101.77
10,700.0,800.0,109.48
10,800.0,900.0,116.03
10,900.0,1000.0,124.87
10,1000.0,1100.0,140.74
10,1100.0,1200.0,152.25
10,1200.0,1300.0,156.11
10,1300.0,1400.0,163.96
10,1400.0,1500.0,165.26
10,1500.0,1600.0,175.68
10,1600.0,1700.0,194.7
10,1700.0,1800.0,200.91
10,1800.0,1900.0,209.56
10,1900.0,2000.0,210.37
10,2000.0,2100.0,225.09
10,2100.0,2200.0,245.86
10,2200.0,2300.0,255.39
10,2300.0,2400.0,259.99
10,2400.0,2500.0,262.72
10,2500.0,3000.0,291.9
10,3000.0,3500.0,309.6
10,3500.0,4000.0,343.99
10,4000.0,4500.0,377.56
