scope	country	zone	w_from	w_to	price
DE	Deutschland	7	1200.01	1300	149.89
DE	Deutschland	7	1300.01	1400	158.89
DE	Deutschland	7	1400.01	1500	166.72
DE	Deutschland	7	1500.01	1600	176.7
DE	Deutschland	7	1600.01	1700	184.48
DE	Deutschland	7	1700.01	1800	193.68
DE	Deutschland	7	1800.01	1900	201.41
DE	Deutschland	7	1900.01	2000	210.85
DE	Deutschland	7	2000.01	2100	220.24
DE	Deutschland	7	2100.01	2200	228.56
DE	Deutschland	7	2200.01	2300	237.61
DE	Deutschland	7	2300.01	2400	247.04
DE	Deutschland	7	2400.01	2500	254.68
DE	Deutschland	7	2500.01	3000	296.47
DE	Deutschland	7	3000.01	3500	335.54
DE	Deutschland	7	3500.01	4000	380.98
DE	Deutschland	7	4000.01	4500	426.37
DE	Deutschland	7	4500.01	5000	462.47
DE	Deutschland	8	0.01	30	32.55
DE	Deutschland	8	1	2	10
DE	Deutschland	8	30.01	50	34.59
DE	Deutschland	8	50.01	100	37.66
DE	Deutschland	8	100.01	150	41.84
DE	Deutschland	8	150.01	200	51.13
DE	Deutschland	8	200.01	300	72.15
DE	Deutschland	8	300.01	400	73.66
DE	Deutschland	8	400.01	500	74.82
DE	Deutschland	8	500.01	600	84.07
DE	Deutschland	8	600.01	700	94.28
DE	Deutschland	8	700.01	800	104.99
DE	Deutschland	8	800.01	900	115.35
DE	Deutschland	8	900.01	1000	125.27
DE	Deutschland	8	1000.01	1100	133.98
DE	Deutschland	8	1100.01	1200	143.71
DE	Deutschland	8	1200.01	1300	153.88
DE	Deutschland	8	1300.01	1400	163.37
DE	Deutschland	8	1400.01	1500	171.73
DE	Deutschland	8	1500.01	1600	182.15
DE	Deutschland	8	1600.01	1700	190.46
DE	Deutschland	8	1700.01	1800	200.15
DE	Deutschland	8	1800.01	1900	208.42
DE	Deutschland	8	1900.01	2000	218.24
DE	Deutschland	8	2000.01	2100	228.02
DE	Deutschland	8	2100.01	2200	236.78
DE	Deutschland	8	2200.01	2300	246.27
DE	Deutschland	8	2300.01	2400	256.14
DE	Deutschland	8	2400.01	2500	264.32
DE	Deutschland	8	2500.01	3000	307.52
DE	Deutschland	8	3000.01	3500	349.36
DE	Deutschland	8	3500.01	4000	397.08
DE	Deutschland	8	4000.01	4500	444.71
DE	Deutschland	8	4500.01	5000	482.85
DE	Deutschland	9	0.01	30	32.84
DE	Deutschland	9	1	2	11
DE	Deutschland	9	30.01	50	34.88
DE	Deutschland	9	50.01	100	38
DE	Deutschland	9	100.01	150	42.52
DE	Deutschland	9	150.01	200	52.4
DE	Deutschland	9	200.01	300	76.43
DE	Deutschland	9	300.01	400	78.03
DE	Deutschland	9	400.01	500	79.88
DE	Deutschland	9	500.01	600	90.54
DE	Deutschland	9	600.01	700	101.92
DE	Deutschland	9	700.01	800	113.55
DE	Deutschland	9	800.01	900	124.88
DE	Deutschland	9	900.01	1000	135.78
DE	Deutschland	9	1000.01	1100	145.32
DE	Deutschland	9	1100.01	1200	155.92
